aeid,target_id
2,1
7,2
8,2
13,3
14,3
17,4
18,4
19,5
20,5
21,6
22,6
27,2
28,2
33,3
34,3
37,4
38,4
39,5
40,5
41,6
42,6
47,2
48,2
53,3
54,3
57,4
58,4
59,5
60,5
61,6
62,6
63,7
1400,8
64,9
64,10
1401,6
1401,11
65,12
65,13
65,14
1402,15
1402,16
1402,17
66,18
1404,19
67,20
1410,21
69,22
1409,23
70,24
70,25
1412,26
1412,27
71,28
71,29
71,30
1413,31
1413,32
1413,33
72,34
1424,35
73,36
1414,37
74,38
1416,39
75,40
1419,41
76,42
1423,43
77,44
1425,45
78,46
78,47
1426,48
1426,49
79,50
1429,51
80,52
1431,53
81,54
1432,55
82,56
1434,57
83,58
1437,59
84,60
1439,61
85,62
1440,63
86,64
1441,65
91,66
1445,67
92,68
1447,69
93,70
1448,71
94,72
1458,73
95,74
1457,75
96,76
1460,77
97,78
1461,79
98,80
1464,81
99,5
1465,82
100,83
1466,84
101,85
1467,86
102,87
102,88
102,89
1472,90
1472,91
1472,92
103,93
1474,94
104,95
104,96
104,97
1483,98
1483,99
1483,100
105,101
1490,102
106,103
1491,104
107,105
1492,106
108,107
1493,108
111,109
111,110
111,111
111,112
1496,113
1496,114
1496,115
1496,116
112,117
1497,118
113,119
1503,120
114,121
1505,122
115,123
1403,124
116,85
1405,86
117,40
1417,41
118,125
1420,126
119,127
1422,128
120,62
1427,63
121,129
1428,129
122,54
1433,55
123,130
1435,131
125,24
1443,26
126,25
1444,27
131,132
1463,133
132,87
1469,90
133,88
1470,91
134,89
1471,92
135,93
1475,94
136,28
1476,31
137,29
1477,32
138,30
1478,33
139,96
1482,99
140,97
1484,100
141,134
1485,135
142,136
1486,137
143,138
1498,139
144,119
1504,120
145,140
146,140
147,141
148,141
149,142
150,142
151,143
152,143
153,144
154,144
155,145
156,145
161,146
162,146
163,147
164,147
165,148
166,148
167,149
168,149
171,150
172,150
173,144
174,144
175,151
176,151
179,148
180,148
181,149
182,149
183,152
184,152
185,141
186,141
187,153
188,153
189,154
190,154
191,145
192,145
193,155
194,155
195,156
196,156
199,117
200,117
201,157
202,157
203,158
204,158
205,148
206,148
207,141
208,141
209,159
210,159
211,143
212,143
213,160
214,160
215,144
216,144
217,161
218,161
219,145
220,145
223,162
224,162
227,146
228,146
229,147
230,147
231,148
232,148
233,149
234,149
235,163
236,163
237,164
238,164
239,143
240,143
241,154
242,154
243,161
244,161
245,145
246,145
247,155
248,155
249,156
250,156
255,165
256,165
257,149
258,149
259,142
260,142
261,153
262,153
263,154
264,154
265,144
266,144
267,166
268,166
271,117
272,117
273,167
274,167
275,158
276,158
277,168
278,168
279,140
280,140
281,153
282,153
283,143
284,143
285,144
286,144
287,161
288,161
289,169
290,169
293,147
294,147
295,170
296,170
297,149
298,149
299,171
300,171
301,168
302,168
303,172
304,172
305,140
306,140
307,143
308,143
309,144
310,144
311,145
312,145
319,173
320,173
321,174
322,174
323,175
324,175
325,176
326,176
327,177
328,177
329,178
330,178
331,179
332,179
333,180
334,180
335,181
336,181
337,182
338,182
339,183
340,183
341,184
342,184
343,185
344,185
345,186
346,186
347,187
348,187
349,188
350,188
351,189
352,189
353,190
354,190
355,191
356,191
357,192
358,192
359,193
360,193
361,194
362,194
363,195
364,195
365,196
366,196
367,197
368,197
369,198
370,198
371,199
372,199
373,200
374,200
375,201
376,201
377,202
378,202
379,203
380,203
381,204
382,204
383,205
384,205
385,206
386,206
387,207
388,207
389,208
390,208
391,209
392,209
393,210
394,210
395,211
396,211
397,212
398,212
399,213
400,213
401,214
402,214
403,215
404,215
405,216
406,216
407,217
408,217
409,218
410,218
411,219
412,219
413,220
414,220
415,221
416,221
417,222
418,222
419,223
420,223
421,224
422,224
423,225
424,225
425,226
426,226
427,227
428,227
429,164
430,164
431,228
432,228
433,229
434,229
435,230
436,230
437,231
438,231
439,232
440,232
441,233
442,233
443,234
444,234
445,235
446,235
447,236
448,236
449,237
450,237
451,238
452,238
453,239
454,239
455,240
456,240
457,241
458,241
459,242
460,242
461,243
462,243
463,244
464,244
465,245
466,245
467,246
468,246
469,247
470,247
471,247
472,247
473,248
474,248
475,249
476,249
477,250
478,250
479,251
480,251
481,252
482,252
483,253
484,253
485,254
486,254
487,155
488,155
489,255
490,255
491,256
492,256
493,257
494,257
495,258
496,258
497,166
498,166
499,259
500,259
501,260
502,260
503,261
504,261
505,262
506,262
507,263
508,263
509,264
510,264
511,265
512,265
513,266
514,266
515,267
516,267
517,268
518,268
519,269
520,269
521,270
522,270
523,271
524,271
525,272
526,272
527,273
528,273
529,274
530,274
531,275
532,275
533,276
534,276
535,277
536,277
537,278
538,278
539,279
540,279
541,280
542,280
543,281
544,281
545,282
546,282
547,283
548,283
549,284
550,284
551,285
552,285
553,286
554,286
555,287
556,287
557,288
558,288
559,289
560,289
561,290
562,290
563,291
564,291
565,292
566,292
567,293
568,293
569,294
570,294
571,295
572,295
573,296
574,296
575,297
576,297
577,152
578,152
579,298
580,298
581,299
582,299
583,300
584,300
585,301
586,301
587,302
588,302
589,303
590,303
591,304
592,304
593,305
594,305
595,306
596,306
597,307
598,307
599,308
600,308
601,309
602,309
603,309
604,309
605,310
606,310
607,310
608,310
609,311
610,312
611,313
612,314
613,315
614,316
615,317
616,318
617,319
618,320
619,321
620,322
621,323
622,324
623,325
624,326
625,327
626,328
627,329
628,330
629,331
630,332
631,333
632,334
633,335
634,336
635,337
636,338
637,339
638,340
639,341
640,342
641,343
642,344
643,345
644,346
645,347
646,348
647,349
648,350
649,351
650,352
651,353
652,354
653,355
654,356
655,357
656,358
657,359
658,360
659,361
660,362
661,362
662,363
663,364
664,364
665,365
666,366
667,367
668,368
669,369
670,370
671,371
672,372
673,373
674,374
675,375
676,376
677,377
678,378
679,379
680,379
681,380
682,381
683,382
684,383
685,384
686,385
687,386
688,387
689,386
690,388
691,389
692,390
693,391
694,392
695,392
696,393
697,394
698,395
699,396
700,397
701,398
702,399
703,399
704,400
705,401
706,402
707,403
708,404
709,405
710,406
711,123
712,85
713,85
714,40
715,62
716,62
717,54
718,87
719,89
720,407
721,93
722,28
723,28
724,138
725,408
726,409
727,410
728,411
729,412
730,413
731,414
732,415
733,416
734,417
735,418
736,419
737,420
738,421
739,123
740,123
740,422
741,123
741,422
742,40
743,40
744,40
744,423
745,40
745,423
746,423
747,423
750,40
751,40
753,62
753,424
754,62
754,424
755,425
755,134
756,425
756,134
757,89
757,426
758,89
758,426
759,124
760,124
761,123
762,123
1202,124
1203,124
764,123
765,123
767,173
781,427
783,41
784,41
785,40
786,40
1189,41
1190,41
788,40
789,40
791,55
792,55
793,54
794,54
1193,55
1194,55
800,92
801,92
802,89
803,428
803,138
804,428
804,138
806,7
1108,79
1109,79
1110,78
1111,61
1112,61
1113,60
1114,82
1115,82
1116,5
1117,63
1118,63
1119,62
1120,62
1191,63
1192,63
1122,91
1123,91
1124,88
1125,88
1196,91
1197,91
1127,89
1198,92
1199,92
1129,429
1130,429
1131,430
1132,430
1200,429
1201,429
1137,431
1138,431
1141,82
1142,82
1153,431
1154,431
1157,82
1158,82
1169,431
1170,431
1173,82
1174,82
1611,432
1612,433
1613,434
1614,435
1615,436
1616,437
1617,438
1618,439
1619,440
1620,441
1621,442
1622,443
1623,444
1624,445
1625,446
1626,447
1627,432
1628,433
1629,434
1630,435
1631,436
1632,437
1633,438
1634,439
1635,440
1636,441
1637,442
1638,443
1639,444
1640,445
1641,446
1642,447
1643,432
1644,433
1645,434
1646,435
1647,436
1648,437
1649,438
1650,439
1651,440
1652,441
1653,442
1654,443
1655,444
1656,445
1657,446
1658,447
1315,82
1316,82
1317,5
1319,82
1320,82
1321,5
1323,82
1324,82
1325,5
1327,82
1328,82
1329,5
1340,448
1341,448
1342,449
1344,73
1345,73
1346,72
1348,450
1462,451
1349,452
1430,453
1350,454
1408,455
1351,456
1468,457
1352,458
1442,459
1353,460
1479,461
1354,462
1436,463
1355,464
1421,465
1356,466
1446,467
1357,468
1407,469
1358,470
1459,471
1359,472
1502,473
1360,474
1411,475
1361,476
1480,477
1362,95
1481,98
1363,407
1473,478
1364,479
1487,480
1365,481
1488,482
1366,483
1489,484
1367,423
1418,485
1368,486
1500,487
1369,428
1499,488
1370,489
1415,490
1371,491
1501,492
1508,493
1510,494
1824,495
1848,494
